normal,gen_z,Word/Phrase,Definition,Popularity/Trend Level
"Hey, do you want to grab lunch together later?","Yo, wanna bounce and get some grub later?",,,
I'm just heading to the store to pick up some snacks.,I'm just vibing to the store to snag some snacks.,,,
"Hey, did you see the new movie yesterday?","Yo, did you peep the new flick yesterday?",,,
I'm really tired today after working all morning.,"I'm hella drained after grindin' all morning, ngl.",,,
"Hey, do you want to go grab some coffee after school?","Yo, wanna dip for some coffee after class?",,,
I'm going to grab some food with my friends this afternoon.,I'm hitting up grub with my squad later.,,,
I'm really excited because my favorite band is coming to town this weekend.,I'm super hyped 'cause my fave band is hitting the city this weekend!,,,
"Hey, I just finished my homework and I’m about to relax for a bit.","Yo, just crushed my homework and now I’m chillin’ for a sec.",,,
I'm going to grab a coffee with my friend later.,"I'm finna get coffee with my homie later, fr.",,,
I'm just walking to the store to buy some snacks.,I'm just hoofing it to the snack spot to grab some munchies.,,,
I'm just going to grab some coffee and then head to the library.,"I'm just finna get some coffee and bounce to the library, fr.",,,
"I'm really tired after a long day, I just want to relax.","I'm so drained after today, just wanna chill and kick back.",,,
I'm just going to relax at home and watch some movies today.,I'm just chillin' at home and binge-watching some flicks today.,,,
I'm going to hang out with my friends at the mall later.,"I'm about to LITty with my crew at the mall later, fr fr.",,,
"Hey, I saw you at the mall yesterday and you looked really cool.","Yo, I peeped you at the mall yesterday and you were fire legit!",,,
"I'm just chilling at home, watching some videos online.","I'm just vibing at home, scrolling through vids online.",,,
I'm really tired after a long day at school.,"I'm totally drained after a long day at school, fr.",,,
I'm so tired after working all day.,"I'm totally drained after grindin' all day, fr fr.",,,
I'm so tired today after staying up late yesterday.,I'm dead tired today after pulling an all-nighter yesterday.,,,
I'm so tired after staying up all night studying.,I'm mad zapped after pulling a midnight cram sesh.,,,
I'm just really tired today and not in the mood to do anything.,"I'm so drained today, not tryna do anything rn.",,,
I'm just going to hang out with some friends tonight.,I'm just chillin' with my crew tonight.,,,
I'm thinking about going to the mall later to hang out with my friends.,I'm vibing to hit the mall later and kick it with my crew.,,,
I'm really excited to see my friends later today.,I'm super hyped to hang with my crew later! 🔥,,,
I'm just going to grab some coffee and relax at home.,I'm just finna get some coffee and chill at home.,,,
I'm feeling really tired today and just want to relax.,I'm dead tired today and just wanna chill out.,,,
"I'm just sitting at home, relaxing and watching some TV.","I'm chillin' at home, vibing and binge-watching some shows.",,,
I'm just really tired today and I don't feel like going out.,"I'm totally wiped today and not tryna step out, fr.",,,
I'm just going to grab a coffee and relax for a bit.,I'm just finna sip some java and chillax for a minute.,,,
"I'm feeling really tired today, so I think I’ll just stay home and relax.","I'm dead tired today, so I’m just gonna chill at home and vibe.",,,
I can't believe how hot it is today!,"No cap, it's blazing today!",,,
I just bought a new hoodie and I love how cozy it feels.,"Just copped a fresh hoodie and it's mad comfy, no cap!",,,
I'm so tired today because I stayed up late watching movies.,"I'm straight-up exhausted 'cause I was binge-watching movies till late, no cap.",,,
"Hey, I just got back from the store and bought some snacks.","Yo, just hit the store and snatched some snacks, fr fr!",,,
I'm just chilling at home watching some TV.,"I'm just vibing solo, binge-watching shows at my place.",,,
I'm really tired after class today.,"I'm super drained after school today, fr.",,,
I'm going to grab lunch with my friends later.,I'm finna grub with my crew later.,,,
I'm just going to hang out with my friends at the mall today.,I'm just vibing at the mall with my friends today.,,,
I'm really happy because I got a new phone yesterday.,I'm vibing 'cause I peeped a fresh new phone yesterday.,,,
I'm just going to chill at home this weekend.,I'm just gonna vibe at home this weekend.,,,
"Hey, are you going to the cafe later?","Yo, you hitting up the café later or nah?",,,
I'm really tired today and just want to stay in and relax.,"I'm mad tired today, just wanna chill at home and vibe.",,,
"Hey, I just finished studying for my test and I feel pretty good about it.","Yo, just wrapped my cramming sesh for the test and I’m vibing.",,,
"I'm really tired today, so I think I’ll just stay home and relax.","I'm totally dead today, so I'm just gonna chill at home and veg out.",,,
I'm really tired after a long day of work.,I'm super drained after a whole day grind.,,,
"Hey, do you want to go to the movies tonight?","Yo, wanna hit the movies tonight?",,,
"Hey, do you want to grab a snack after school?","Yo, you tryna hit up for snacks after class?",,,
Let's grab some coffee and chill at the park.,"Yo, let's get some java and vibey at the park, fr.",,,
I'm just trying to relax at home after a long day.,"I'm just vibing at home after a whole day, no cap.",,,
"Hey, do you want to grab some food later?","Yo, wanna hit up some munchies later?",,,
I'm really tired today and just want to stay home.,I'm hella drained today and just wanna vibe at home.,,,
"Hey, I just finished my homework and I'm really tired.","Yo, just wrapped up my homework and I'm deadass exhausted.",,,
I'm just going to chill at home and watch some YouTube videos.,I'm just gonna vibe at home and binge some YouTube vids.,,,
I'm going to the grocery store to buy some food.,I'm heading to the store to snag some snacks.,,,
"Hey, I'm going to grab some coffee before work.","Yo, I'm about to hit up Starbucks before work, fr.",,,
I'm really tired after working all day today.,"I'm so drained after grinding all day, fr.",,,
I'm just going to relax and watch some videos tonight.,I'm just gonna chill and scroll through some vids tonight.,,,
"I'm really tired, I think I'll just stay home and relax today.","I'm dead tired, lowkey just gonna chill at home today.",,,
I'm just really tired after studying all day.,"I'm totally drained after grinding all day, fr fr.",,,
"Hey, are you going to the party tonight?","Yo, you hitting the party tonight or nah?",,,
I'm so tired after the long day at work.,I'm totally drained after grinding all day at work.,,,
I'm just going to relax at home and listen to some music.,"Chillin' at home, vibing to some tunes, no cap.",,,
I'm really excited for the weekend to hang out with my friends.,I'm so hyped for the weekend to flex with my squad.,,,
"Hey, I just finished my homework and I’m ready to chill.","Yo, I just knocked out my homework and I’m all set to vibe.",,,
"Hey, I just saw a really cool video online.","Yo, just peeped a sick vid online!",,,
"Hey, I was just sitting outside and enjoying the nice weather.","Yo, I was chillin' outside and vibing with the good weather.",,,
I'm just going for a walk in the park to relax.,I'm just vibing with a walk in the park to chill.,,,
"Hey, are you free to grab coffee later?","Yo, are you down to grab some coffee later?",,,
I'm going to the mall to hang out with my friends.,I'm hitting the mall to kick it with my squad.,,,
I'm really tired today because I didn’t sleep well last night.,I'm super wiped today 'cause I didn’t catch enough Z's last night.,,,
I'm just feeling pretty tired today.,I'm vibing kinda exhausted today.,,,
I'm just trying to relax and watch some videos tonight.,I'm just tryna chill and binge some vids tonight.,,,
I'm just relaxing at home and listening to music.,"Chillin' at my pad, vibing out to some tunes.",,,
I'm really tired today so I think I want to stay home and relax.,"I'm super drained today, so I might just chill at home and vibe out.",,,
I'm really excited to go to the new cafe downtown.,"I'm super hyped to hit up the new spot downtown, it's gonna be fire!",,,
"Hey, do you want to grab a bite to eat later?","Yo, wanna catch some grub later?",,,
I'm just really tired today and feel like staying in bed.,"I'm mad drained today and just wanna click 'snooze' on life, fr.",,,
I'm just trying to get through the day and stay positive.,I'm just vibing through the day and keeping it chill.,,,
"I'm really tired after a long day, so I'm just going to relax at home.","I'm super wiped from the day, so I'm just chillin' at home.",,,
I'm really excited about the concert this weekend!,"OMG, I’m so hyped for the concert this weekend!",,,
I'm just relaxing at home and watching some Netflix.,"I'm just chillin' at home and binging some Netflix, no cap.",,,
"Hey, I just got back from the mall with my friends.","Yo, just dipped from the mall with my squad, fr fr.",,,
I can't believe how busy I am today.,"I'm shook, today's been max hectic.",,,
I'm really tired today because I didn't get much sleep last night.,"I'm so dead today 'cause I got no sleep last night, fr.",,,
